!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!MATERIAL:     EN-AW-7075
!REFERENCE:    JMatPro Thermo-physical & physical properties, 2019
!AUTHOR:       Johannes Vinz (2019)
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

Temperature	Density
[K]	[kg/[m]^3]
298	2801.05
333	2794.35
373	2786.44
403	2780.36
433	2774.15
473	2765.68
503	2759.18
533	2752.55
573	2743.53
603	2736.62
633	2729.59
673	2720.03
703	2712.72
733	2705.3
753	2682.97
758	2681.38
763	2679.77
768	2678.11
773	2676.41
778	2674.65
783	2672.83
788	2670.92
793	2668.92
798	2666.81
803	2664.53
808	2662.07
813	2659.34
818	2656.7
823	2654.14
828	2651.42
833	2648.5
838	2645.35
843	2641.93
848	2638.18
853	2634.03
858	2629.38
863	2624.13
868	2618.09
873	2611.07
878	2602.76
883	2592.72
888	2580.35
893	2564.73
898	2544.46
903	2517.31
908	2487.43
913	2485.64
918	2483.84
923	2482.02
928	2480.19
933	2478.33
973	2464.67
1173	2393.73
1373	2318.88
1573	2241.2
1773	2161.7
2073	2041.02
2273	1960.73
2773	1765.02
3273	1581.65
