!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!MATERIAL:     EN-AW-7075
!REFERENCE:    JMatPro Thermo-physical & physical properties, 2019
!AUTHOR:       Johannes Vinz (2019)
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

Temperature	Electrical resistivity
[K]	[Ohm*m]
298	5.6765e-08
333	6.03148e-08
373	6.44587e-08
403	6.75852e-08
433	7.07156e-08
473	7.48883e-08
503	7.80165e-08
533	8.1146e-08
573	8.53278e-08
603	8.84779e-08
633	9.16468e-08
673	9.59138e-08
703	9.91555e-08
733	1.0244e-07
753	1.1236e-07
758	1.1314e-07
763	1.1394e-07
768	1.1477e-07
773	1.1563e-07
778	1.1654e-07
783	1.1749e-07
788	1.1851e-07
793	1.1959e-07
798	1.2077e-07
803	1.2206e-07
808	1.235e-07
813	1.2514e-07
818	1.2661e-07
823	1.2793e-07
828	1.2935e-07
833	1.3088e-07
838	1.3255e-07
843	1.3439e-07
848	1.3643e-07
853	1.3871e-07
858	1.413e-07
863	1.4427e-07
868	1.4772e-07
873	1.5181e-07
878	1.5674e-07
883	1.6278e-07
888	1.7037e-07
893	1.8017e-07
898	1.9318e-07
903	2.1109e-07
908	2.3133e-07
913	2.3216e-07
918	2.33e-07
923	2.3383e-07
928	2.3466e-07
933	2.3549e-07
973	2.4171e-07
1173	2.7002e-07
1373	2.9449e-07
1573	3.1586e-07
1773	3.347e-07
2073	3.5914e-07
2273	3.7334e-07
2773	4.0326e-07
3273	4.2719e-07
