!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!MATERIAL:     EN-AW-7075
!REFERENCE:    JMatPro Thermo-physical & physical properties, 2019
!AUTHOR:       Johannes Vinz (2019)
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

Temperature	Fraction liquid
[K]	[wt]
298	0.
333	0.
373	0.
403	0.
433	0.
473	0.
503	0.
533	0.
573	0.
603	0.
633	0.
673	0.
703	0.
733	0.
753	0.0812052
758	0.0834047
763	0.0858152
768	0.0884699
773	0.0914141
778	0.0947002
783	0.0983999
788	0.1026
793	0.10742
798	0.11301
803	0.11959
808	0.12744
813	0.13698
818	0.14533
823	0.15267
828	0.16092
833	0.17026
838	0.18087
843	0.19302
848	0.20701
853	0.22325
858	0.24228
863	0.26476
868	0.29164
873	0.32415
878	0.36407
883	0.41389
888	0.47732
893	0.55996
898	0.67061
903	0.82359
908	0.99571
913	0.99638
918	0.99711
923	0.99791
928	0.99878
933	0.99974
973	1.
1173	1.
1373	1.
1573	1.
1773	1.
2073	1.
2273	1.
2773	1.
3273	1.
