!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!MATERIAL:     EN-AW-7075
!REFERENCE:    JMatPro Thermo-physical & physical properties, 2019
!AUTHOR:       Johannes Vinz (2019)
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

Temperature	Liquid viscosity
[K]	[mPa*s]
298	nan
333	nan
373	nan
403	nan
433	nan
473	nan
503	nan
533	nan
573	nan
603	nan
633	nan
673	nan
703	nan
733	nan
753	0.00317162
758	0.00308727
763	0.00300527
768	0.0029255
773	0.00284781
778	0.0027721
783	0.00269817
788	0.00262597
793	0.00255533
798	0.00248613
803	0.00241825
808	0.00235157
813	0.00228596
818	0.0022264
823	0.00217147
828	0.00211807
833	0.00206615
838	0.0020157
843	0.00196668
848	0.00191907
853	0.00187285
858	0.001828
863	0.00178452
868	0.0017424
873	0.00170164
878	0.00166222
883	0.00162419
888	0.00158756
893	0.00155242
898	0.0015189
903	0.00148722
908	0.00145989
913	0.00144295
918	0.00142643
923	0.00141034
928	0.00139466
933	0.00137938
973	0.0012632
1173	0.00088974
1373	0.00069405
1573	0.00057671
1773	0.00049965
2073	0.00042439
2273	0.00038985
2773	0.00033265
3273	0.00029795
