!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!MATERIAL:     EN-AW-7075
!REFERENCE:    JMatPro Thermo-physical & physical properties, 2019
!AUTHOR:       Johannes Vinz (2019)
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

Temperature	Poisson's ratio
[K]	[/1]
298	0.33569
333	0.33704
373	0.3387
403	0.34003
433	0.34142
473	0.34339
503	0.34494
533	0.34656
573	0.34882
603	0.3506
633	0.35244
673	0.35501
703	0.35701
733	0.35908
753	0.37173
758	0.3724
763	0.3731
768	0.37384
773	0.37462
778	0.37545
783	0.37634
788	0.37732
793	0.37838
798	0.37956
803	0.38089
808	0.38241
813	0.38418
818	0.38573
823	0.38709
828	0.38858
833	0.39021
838	0.39201
843	0.39401
848	0.39625
853	0.39879
858	0.40168
863	0.40503
868	0.40893
873	0.41355
878	0.4191
883	0.42588
888	0.43434
893	0.44511
898	0.4592
903	0.47816
908	0.49889
913	0.49906
918	0.49925
923	0.49946
928	0.49968
933	0.49993
973	0.5
1173	0.5
1373	0.5
1573	0.5
1773	0.5
2073	0.5
2273	0.5
2773	0.5
3273	0.5
