!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!MATERIAL:     EN-AW-7075
!REFERENCE:    JMatPro Thermo-physical & physical properties, 2019
!AUTHOR:       Johannes Vinz (2019)
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

Temperature	Specific Heat
[K]	[J/kg K]
298	nan
333	886.2
373	906.
403	919.4
433	932.4
473	948.8
503	961.
533	973.
573	989.
603	1001.2
633	1013.4
673	1030.
703	1043.
733	1057.4
753	1281.
758	1302.2
763	1326.6
768	1355.
773	1388.4
778	1428.2
783	1475.8
788	1534.2
793	1606.2
798	1697.4
803	1814.4
808	1968.4
813	1814.2
818	1682.
823	1751.2
828	1832.
833	1927.
838	2040.
843	2175.4
848	2339.4
853	2540.4
858	2790.2
863	3105.
868	3509.6
873	4038.2
878	4746.
883	5716.2
888	7086.6
893	9085.
898	12107.6
903	13477.2
908	1211.2
913	1222.4
918	1234.6
923	1247.8
928	1261.4
933	1270.36
973	1128.2
1173	1128.4
1373	1128.6
1573	1128.6
1773	1128.4
2073	1127.8
2273	1127.6
2773	1126.6
3273	nan
