!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!MATERIAL:     EN-AW-7075
!REFERENCE:    JMatPro Thermo-physical & physical properties, 2019
!AUTHOR:       Johannes Vinz (2019)
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

Temperature	Specific enthalpy
[K]	[J/kg]
298	-10033.
333	20456.
373	56255.
403	83605.
433	111352.
473	148938.
503	177556.
533	206535.
573	245735.
603	275557.
633	305744.
673	346570.
703	377630.
733	409094.
753	468465.
758	474870.
763	481381.
768	488014.
773	494789.
778	501731.
783	508872.
788	516251.
793	523922.
798	531953.
803	540440.
808	549512.
813	559354.
818	568425.
823	576835.
828	585591.
833	594751.
838	604386.
843	614586.
848	625463.
853	637160.
858	649862.
863	663813.
868	679338.
873	696886.
878	717077.
883	740807.
888	769388.
893	804821.
898	850246.
903	910784.
908	978170.
913	984226.
918	990338.
923	996511.
928	1002750.
933	1009057.
973	1054371.
1173	1280030.
1373	1505742.
1573	1731474.
1773	1957162.
2073	2295595.
2273	2521139.
2773	3084664.
3273	3647701.
