!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!MATERIAL:     EN-AW-7075
!REFERENCE:    JMatPro Thermo-physical & physical properties, 2019
!AUTHOR:       Johannes Vinz (2019)
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

Temperature	Thermal conductivity
[K]	[W/[m*K]]
298	120.58453
333	126.71393
373	132.80977
403	136.87591
433	140.59222
473	145.09101
503	148.16932
533	151.02224
573	154.50553
603	156.89325
633	159.09747
673	161.75993
703	163.55341
733	165.17437
753	159.72455
758	159.68703
763	159.61744
768	159.51155
773	159.36379
778	159.1671
783	158.91283
788	158.58967
793	158.18254
798	157.67238
803	157.03294
808	156.22592
813	155.2027
818	154.29874
823	153.50765
828	152.59522
833	151.54274
838	150.32628
843	148.91751
848	147.28369
853	145.38271
858	143.16449
863	140.56775
868	137.51909
873	133.93051
878	129.703
883	124.72351
888	118.88458
893	112.08899
898	104.24927
903	95.1513
908	86.33539
913	86.50276
918	86.66866
923	86.83388
928	86.99761
933	87.16056
973	88.56053
1173	95.57194
1373	102.57181
1573	109.5608
1773	116.53932
2073	126.98789
2273	133.941
2773	151.2802
3273	168.55762
