!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!MATERIAL:     EN-AW-7075
!REFERENCE:    JMatPro Thermo-physical & physical properties, 2019
!AUTHOR:       Johannes Vinz (2019)
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

Temperature	Thermal expansion
[K]	[1/K]
298	nan
333	2.293465e-05
373	2.334492e-05
403	2.365397e-05
433	2.396419e-05
473	2.43796e-05
503	2.469252e-05
533	2.500659e-05
573	2.542715e-05
603	2.574393e-05
633	2.606186e-05
673	2.648757e-05
703	2.680821e-05
733	2.713e-05
753	3.237292e-05
758	3.248018e-05
763	3.259559e-05
768	3.272042e-05
773	3.285567e-05
778	3.300545e-05
783	3.316969e-05
788	3.335412e-05
793	3.356159e-05
798	3.37974e-05
803	3.40696e-05
808	3.438982e-05
813	3.477304e-05
818	3.512228e-05
823	3.544312e-05
828	3.58006e-05
833	3.620167e-05
838	3.665274e-05
843	3.716523e-05
848	3.775037e-05
853	3.84254e-05
858	3.920984e-05
863	4.01316e-05
868	4.122619e-05
873	4.25452e-05
878	4.415712e-05
883	4.615793e-05
888	4.869991e-05
893	5.200017e-05
898	5.640934e-05
903	6.248981e-05
908	6.928516e-05
913	6.916397e-05
918	6.904544e-05
923	6.893451e-05
928	6.882798e-05
933	6.873006e-05
973	6.775103e-05
1173	6.510257e-05
1373	6.471011e-05
1573	6.551189e-05
1773	6.702206e-05
2073	7.00917e-05
2273	7.248429e-05
2773	7.918783e-05
3273	8.650677e-05
