!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!MATERIAL:     EN-AW-7075
!REFERENCE:    JMatPro Thermo-physical & physical properties, 2019
!AUTHOR:       Johannes Vinz (2019)
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

Temperature	Young's modulus
[K]	[Pa]
298	6.840486e+10
333	6.723013e+10
373	6.581241e+10
403	6.470042e+10
433	6.354667e+10
473	6.194336e+10
503	6.069211e+10
533	5.939905e+10
573	5.760987e+10
603	5.621914e+10
633	5.478651e+10
673	5.28111e+10
703	5.128057e+10
733	4.970802e+10
753	3.60814e+10
758	3.552327e+10
763	3.49365e+10
768	3.431694e+10
773	3.36593e+10
778	3.295661e+10
783	3.22012e+10
788	3.138245e+10
793	3.048808e+10
798	2.950121e+10
803	2.840148e+10
808	2.715924e+10
813	2.573999e+10
818	2.45421e+10
823	2.352573e+10
828	2.244046e+10
833	2.127924e+10
838	2.003485e+10
843	1.869929e+10
848	1.726648e+10
853	1.57297e+10
858	1.408551e+10
863	1.233428e+10
868	1.048422e+10
873	8.55529e+09
878	6.58881e+09
883	4.6552e+09
888	2.86884e+09
893	1.3934e+09
898	4.1679e+08
903	31233500.
908	21.5497
913	10.8722
918	4.38196
923	1.19173
928	0.135918
933	0.00029335
973	0.
1173	0.
1373	0.
1573	0.
1773	0.
2073	0.
2273	0.
2773	0.
3273	0.
