Time (s)	Stromstärke (A)			
0.000E+00	0.000E+00			
5.000E-06	4.680E+02			
1.000E-05	1.025E+03			
1.500E-05	1.450E+03			
2.000E-05	2.094E+03			
2.500E-05	2.527E+03			
3.000E-05	3.056E+03			
3.500E-05	3.469E+03			
4.000E-05	4.092E+03			
4.500E-05	4.481E+03			
5.000E-05	5.014E+03			
5.500E-05	5.390E+03			
6.000E-05	5.813E+03			
6.500E-05	6.290E+03			
7.000E-05	6.700E+03			
7.500E-05	7.258E+03			
8.000E-05	7.657E+03			
8.500E-05	7.984E+03			
9.000E-05	8.652E+03			
9.500E-05	8.848E+03			
1.000E-04	9.586E+03			
1.050E-04	9.611E+03			
1.100E-04	1.045E+04			
1.150E-04	1.067E+04			
1.200E-04	1.111E+04			
1.250E-04	1.165E+04			
1.300E-04	1.194E+04			
1.350E-04	1.236E+04			
1.400E-04	1.282E+04			
1.450E-04	1.318E+04			
1.500E-04	1.361E+04			
1.550E-04	1.414E+04			
1.600E-04	1.439E+04			
1.650E-04	1.474E+04			
1.700E-04	1.534E+04			
1.750E-04	1.552E+04			
1.800E-04	1.622E+04			
1.850E-04	1.636E+04			
1.900E-04	1.685E+04			
1.950E-04	1.734E+04			
2.000E-04	1.764E+04			
2.050E-04	1.789E+04			
2.100E-04	1.866E+04			
2.150E-04	1.875E+04			
2.200E-04	1.937E+04			
2.250E-04	1.954E+04			
2.300E-04	2.006E+04			
2.350E-04	2.042E+04			
2.400E-04	2.073E+04			
2.450E-04	2.118E+04			
2.500E-04	2.146E+04			
2.550E-04	2.190E+04			
2.600E-04	2.229E+04			
2.650E-04	2.277E+04			
2.700E-04	2.307E+04			
2.750E-04	2.357E+04			
2.800E-04	2.369E+04			
2.850E-04	2.423E+04			
2.900E-04	2.460E+04			
2.950E-04	2.482E+04			
3.000E-04	2.551E+04			
3.050E-04	2.549E+04			
3.100E-04	2.622E+04			
3.150E-04	2.626E+04			
3.200E-04	2.694E+04			
3.250E-04	2.703E+04			
3.300E-04	2.760E+04			
3.350E-04	2.779E+04			
3.400E-04	2.830E+04			
3.450E-04	2.855E+04			
3.500E-04	2.901E+04			
3.550E-04	2.934E+04			
3.600E-04	2.961E+04			
3.650E-04	3.013E+04			
3.700E-04	3.027E+04			
3.750E-04	3.091E+04			
3.800E-04	3.103E+04			
3.850E-04	3.155E+04			
3.900E-04	3.172E+04			
3.950E-04	3.216E+04			
4.000E-04	3.250E+04			
4.050E-04	3.286E+04			
4.100E-04	3.318E+04			
4.150E-04	3.368E+04			
4.200E-04	3.397E+04			
4.250E-04	3.412E+04			
4.300E-04	3.468E+04			
4.350E-04	3.482E+04			
4.400E-04	3.537E+04			
4.450E-04	3.544E+04			
4.500E-04	3.608E+04			
4.550E-04	3.621E+04			
4.600E-04	3.665E+04			
4.650E-04	3.704E+04			
4.700E-04	3.725E+04			
4.750E-04	3.779E+04			
4.800E-04	3.792E+04			
4.850E-04	3.829E+04			
4.900E-04	3.878E+04			
4.950E-04	3.892E+04			
5.000E-04	3.942E+04			
5.050E-04	3.950E+04			
5.100E-04	4.001E+04			
5.150E-04	4.021E+04			
5.200E-04	4.071E+04			
5.250E-04	4.091E+04			
5.300E-04	4.137E+04			
5.350E-04	4.159E+04			
5.400E-04	4.201E+04			
5.450E-04	4.215E+04			
5.500E-04	4.264E+04			
5.550E-04	4.286E+04			
5.600E-04	4.327E+04			
5.650E-04	4.349E+04			
5.700E-04	4.409E+04			
5.750E-04	4.402E+04			
5.800E-04	4.465E+04			
5.850E-04	4.477E+04			
5.900E-04	4.516E+04			
5.950E-04	4.550E+04			
6.000E-04	4.579E+04			
6.050E-04	4.603E+04			
6.100E-04	4.656E+04			
6.150E-04	4.667E+04			
6.200E-04	4.700E+04			
6.250E-04	4.740E+04			
6.300E-04	4.761E+04			
6.350E-04	4.798E+04			
6.400E-04	4.836E+04			
6.450E-04	4.850E+04			
6.500E-04	4.909E+04			
6.550E-04	4.909E+04			
6.600E-04	4.950E+04			
6.650E-04	4.981E+04			
6.700E-04	5.013E+04			
6.750E-04	5.043E+04			
6.800E-04	5.073E+04			
6.850E-04	5.114E+04			
6.900E-04	5.139E+04			
6.950E-04	5.162E+04			
7.000E-04	5.214E+04			
7.050E-04	5.206E+04			
7.100E-04	5.265E+04			
7.150E-04	5.287E+04			
7.200E-04	5.310E+04			
7.250E-04	5.357E+04			
7.300E-04	5.374E+04			
7.350E-04	5.407E+04			
7.400E-04	5.429E+04			
7.450E-04	5.475E+04			
7.500E-04	5.495E+04			
7.550E-04	5.524E+04			
7.600E-04	5.562E+04			
7.650E-04	5.583E+04			
7.700E-04	5.621E+04			
7.750E-04	5.639E+04			
7.800E-04	5.667E+04			
7.850E-04	5.705E+04			
7.900E-04	5.740E+04			
7.950E-04	5.747E+04			
8.000E-04	5.801E+04			
8.050E-04	5.804E+04			
8.100E-04	5.857E+04			
8.150E-04	5.872E+04			
8.200E-04	5.899E+04			
8.250E-04	5.926E+04			
8.300E-04	5.980E+04			
8.350E-04	5.973E+04			
8.400E-04	6.035E+04			
8.450E-04	6.038E+04			
8.500E-04	6.079E+04			
8.550E-04	6.090E+04			
8.600E-04	6.140E+04			
8.650E-04	6.155E+04			
8.700E-04	6.189E+04			
8.750E-04	6.234E+04			
8.800E-04	6.229E+04			
8.850E-04	6.297E+04			
8.900E-04	6.275E+04			
8.950E-04	6.342E+04			
9.000E-04	6.344E+04			
9.050E-04	6.397E+04			
9.100E-04	6.407E+04			
9.150E-04	6.435E+04			
9.200E-04	6.475E+04			
9.250E-04	6.498E+04			
9.300E-04	6.518E+04			
9.350E-04	6.563E+04			
9.400E-04	6.556E+04			
9.450E-04	6.621E+04			
9.500E-04	6.617E+04			
9.550E-04	6.674E+04			
9.600E-04	6.675E+04			
9.650E-04	6.725E+04			
9.700E-04	6.731E+04			
9.750E-04	6.770E+04			
9.800E-04	6.794E+04			
9.850E-04	6.823E+04			
9.900E-04	6.854E+04			
9.950E-04	6.863E+04			
1.000E-03	6.914E+04			
1.005E-03	6.920E+04			
1.010E-03	6.952E+04			
1.015E-03	6.992E+04			
1.020E-03	6.999E+04			
1.025E-03	7.052E+04			
1.030E-03	7.044E+04			
1.035E-03	7.099E+04			
1.040E-03	7.100E+04			
1.045E-03	7.145E+04			
1.050E-03	7.163E+04			
1.055E-03	7.186E+04			
1.060E-03	7.228E+04			
1.065E-03	7.241E+04			
1.070E-03	7.279E+04			
1.075E-03	7.285E+04			
1.080E-03	7.340E+04			
1.085E-03	7.341E+04			
1.090E-03	7.378E+04			
1.095E-03	7.394E+04			
1.100E-03	7.445E+04			
1.105E-03	7.435E+04			
1.110E-03	7.493E+04			
1.115E-03	7.494E+04			
1.120E-03	7.538E+04			
1.125E-03	7.551E+04			
1.130E-03	7.578E+04			
1.135E-03	7.618E+04			
1.140E-03	7.621E+04			
1.145E-03	7.670E+04			
1.150E-03	7.662E+04			
1.155E-03	7.724E+04			
1.160E-03	7.718E+04			
1.165E-03	7.767E+04			
1.170E-03	7.771E+04			
1.175E-03	7.825E+04			
1.180E-03	7.830E+04			
1.185E-03	7.864E+04			
1.190E-03	7.874E+04			
1.195E-03	7.911E+04			
1.200E-03	7.922E+04			
1.205E-03	7.965E+04			
1.210E-03	7.974E+04			
1.215E-03	8.026E+04			
1.220E-03	8.016E+04			
1.225E-03	8.059E+04			
1.230E-03	8.085E+04			
1.235E-03	8.096E+04			
1.240E-03	8.133E+04			
1.245E-03	8.161E+04			
1.250E-03	8.161E+04			
1.255E-03	8.217E+04			
1.260E-03	8.208E+04			
1.265E-03	8.262E+04			
1.270E-03	8.257E+04			
1.275E-03	8.325E+04			
1.280E-03	8.301E+04			
1.285E-03	8.368E+04			
1.290E-03	8.357E+04			
1.295E-03	8.409E+04			
1.300E-03	8.402E+04			
1.305E-03	8.446E+04			
1.310E-03	8.457E+04			
1.315E-03	8.481E+04			
1.320E-03	8.518E+04			
1.325E-03	8.533E+04			
1.330E-03	8.562E+04			
1.335E-03	8.589E+04			
1.340E-03	8.596E+04			
1.345E-03	8.628E+04			
1.350E-03	8.656E+04			
1.355E-03	8.679E+04			
1.360E-03	8.697E+04			
1.365E-03	8.725E+04			
1.370E-03	8.738E+04			
1.375E-03	8.780E+04			
1.380E-03	8.772E+04			
1.385E-03	8.829E+04			
1.390E-03	8.825E+04			
1.395E-03	8.872E+04			
1.400E-03	8.875E+04			
1.405E-03	8.915E+04			
1.410E-03	8.919E+04			
1.415E-03	8.964E+04			
1.420E-03	8.967E+04			
1.425E-03	8.989E+04			
1.430E-03	9.030E+04			
1.435E-03	9.041E+04			
1.440E-03	9.067E+04			
1.445E-03	9.091E+04			
1.450E-03	9.101E+04			
1.455E-03	9.142E+04			
1.460E-03	9.131E+04			
1.465E-03	9.195E+04			
1.470E-03	9.195E+04			
1.475E-03	9.226E+04			
1.480E-03	9.245E+04			
1.485E-03	9.279E+04			
1.490E-03	9.264E+04			
1.495E-03	9.343E+04			
1.500E-03	9.300E+04			
1.505E-03	9.373E+04			
1.510E-03	9.365E+04			
1.515E-03	9.412E+04			
1.520E-03	9.407E+04			
1.525E-03	9.459E+04			
1.530E-03	9.450E+04			
1.535E-03	9.500E+04			
1.540E-03	9.488E+04			
1.545E-03	9.531E+04			
1.550E-03	9.550E+04			
1.555E-03	9.569E+04			
1.560E-03	9.599E+04			
1.565E-03	9.608E+04			
1.570E-03	9.641E+04			
