Data info
File name: R:\Projekte\2018_AiF_Alu-Buckel\Bearbeitung\NIMAK_260819\Daten\NIMAK_0093.d7d
Start time: 28.08.2019 10:13:27,993
Number of channels: 1
Sample rate: 200000
Store type: schnell bei Trigger
Pre time: 500
Post time: 1000


Data1

Time (s)	AI 0_Stromstärke -  (kA)
41.02177	1.5701056
41.021775	2.0727515
41.02178	2.2740364
41.021785	2.7968287
41.02179	2.8899908
41.021795	3.4345388
41.0218	3.7022233
41.021805	3.9390326
41.02181	4.4270158
41.021815	4.5532584
41.02182	5.0852299
41.021825	5.3074956
41.02183	5.6709051
41.021835	5.9136748
41.02184	6.3768625
41.021845	6.4041615
41.02185	7.0095062
41.021855	7.1157813
41.02186	7.5440407
41.021865	7.8772306
41.02187	8.0176592
41.021875	8.4450245
41.02188	8.6221104
41.021885	8.8466406
41.02189	9.4098454
41.021895	9.3562603
41.0219	10.066867
41.021905	10.078609
41.02191	10.485708
41.021915	10.710896
41.02192	11.042237
41.021925	11.267424
41.02193	11.657596
41.021935	11.773766
41.02194	12.213289
41.021945	12.379467
41.02195	12.692034
41.021955	13.000668
41.02196	13.269365
41.021965	13.510942
41.02197	13.841391
41.021975	14.117777
41.02198	14.354944
41.021985	14.727057
41.02199	14.812887
41.021995	15.149652
41.022	15.404224
41.022005	15.592039
41.02201	16.109348
41.022015	16.218006
41.02202	16.584158
41.022025	16.730547
41.02203	17.029942
41.022035	17.258883
41.02204	17.637491
41.022045	17.813026
41.02205	18.089235
41.022055	18.369257
41.02206	18.625854
41.022065	18.930017
41.02207	19.044994
41.022075	19.431114
41.02208	19.58996
41.022085	19.815981
41.02209	20.273745
41.022095	20.259439
41.0221	20.827353
41.022105	20.678638
41.02211	21.339893
41.022115	21.122694
41.02212	21.872223
41.022125	21.784008
41.02213	22.227228
41.022135	22.406519
41.02214	22.544384
41.022145	22.945999
41.02215	23.035585
41.022155	23.381413
41.02216	23.660362
41.022165	23.886263
41.02217	24.114847
41.022175	24.327637
41.02218	24.647354
41.022185	24.800896
41.02219	25.086641
41.022195	25.243938
41.0222	25.609911
41.022205	25.718571
41.02221	26.111662
41.022215	26.126862
41.02222	26.574553
41.022225	26.526272
41.02223	27.100204
41.022235	26.996494
41.02224	27.564287
41.022245	27.5774
41.02225	28.038919
41.022255	27.945757
41.02226	28.544247
41.022265	28.42635
41.02227	28.957308
41.022275	28.970421
41.02228	29.355467
41.022285	29.407204
41.02229	29.866993
41.022295	29.888809
41.0223	30.181049
41.022305	30.333281
41.02231	30.728579
41.022315	30.685902
41.02232	31.280994
41.022325	31.333387
41.02233	31.318724
41.022335	31.949638
41.02234	31.835674
41.022345	32.250046
41.02235	32.488762
41.022355	32.638908
41.02236	32.938839
41.022365	33.079208
41.02237	33.223747
41.022375	33.597351
41.02238	33.692062
41.022385	34.022213
41.02239	34.022034
41.022395	34.573437
41.0224	34.495651
41.022405	34.925877
41.02241	35.014988
41.022415	35.187126
41.02242	35.523235
41.022425	35.614849
41.02243	36.036255
41.022435	36.007404
41.02244	36.483227
41.022445	36.367535
41.02245	36.778214
41.022455	36.916435
41.02246	37.054779
41.022465	37.549736
41.02247	37.584541
41.022475	37.846565
41.02248	37.978947
41.022485	38.24395
41.02249	38.396477
41.022495	38.763584
41.0225	38.730026
41.022505	39.171516
41.02251	39.15292
41.022515	39.670883
41.02252	39.489567
41.022525	40.023029
41.02253	39.966225
41.022535	40.305256
41.02254	40.565907
41.022545	40.523766
41.02255	41.075706
41.022555	41.008652
41.02256	41.369675
41.022565	41.445435
41.02257	41.715858
41.022575	41.91053
41.02258	42.214691
41.022585	42.49823
41.02259	42.251587
41.022595	42.984127
41.0226	42.71698
41.022605	43.209194
41.02261	43.27047
41.022615	43.507755
41.02262	43.840469
41.022625	43.852211
41.02263	44.194458
41.022635	44.271946
41.02264	44.527351
41.022645	44.760227
41.02265	44.912041
41.022655	45.10194
41.02266	45.335651
41.022665	45.574009
41.02267	45.628784
41.022675	45.977654
41.02268	45.997978
41.022685	46.326935
41.02269	46.503483
41.022695	46.788933
41.0227	46.728195
41.022705	47.156273
41.02271	47.170044
41.022715	47.42205
41.02272	47.576786
41.022725	47.903179
41.02273	48.000751
41.022735	48.317909
41.02274	48.259735
41.022745	48.757614
41.02275	48.589706
41.022755	49.11655
41.02276	48.960091
41.022765	49.371601
41.02277	49.491405
41.022775	49.801888
41.02278	49.882591
41.022785	50.117374
41.02279	50.293446
41.022795	50.360321
41.0228	50.753235
41.022805	50.748764
41.02281	51.038506
41.022815	51.172256
41.02282	51.435829
41.022825	51.50938
41.02283	51.682709
41.022835	52.095592
41.02284	51.916122
41.022845	52.450775
41.02285	52.347721
41.022855	52.684723
41.02286	52.83469
41.022865	53.060711
41.02287	53.235947
41.022875	53.210674
41.02288	53.758858
41.022885	53.500534
41.02289	54.2565
41.022895	53.840755
41.0229	54.380058
41.022905	54.399014
41.02291	54.581879
41.022915	54.903507
41.02292	54.903984
41.022925	55.46701
41.02293	55.16386
41.022935	55.657387
41.02294	55.546879
41.022945	55.894913
41.02295	56.087852
41.022955	56.207954
41.02296	56.401073
41.022965	56.562126
41.02297	56.801498
41.022975	56.767761
41.02298	57.261467
41.022985	57.049213
41.02299	57.490467
41.022995	57.576241
41.023	57.92141
41.023005	57.843746
41.02301	58.331192
41.023015	58.025955
41.02302	58.70652
41.023025	58.304249
41.02303	58.942139
41.023035	58.973015
41.02304	59.102535
41.023045	59.428574
41.02305	59.291245
41.023055	59.668777
41.02306	59.789894
41.023065	59.949638
41.02307	60.183167
41.023075	60.235741
41.02308	60.58699
41.023085	60.476124
41.02309	60.916603
41.023095	60.842098
41.0231	61.294674
41.023105	61.032654
41.02311	61.601639
41.023115	61.487854
41.02312	61.937927
41.023125	61.872898
41.02313	62.143684
41.023135	62.190891
41.02314	62.429249
41.023145	62.599361
41.02315	62.737228
41.023155	62.879681
41.02316	63.128056
41.023165	63.045502
41.02317	63.49522
41.023175	63.348831
41.02318	63.8535
41.023185	63.746037
41.02319	64.079224
41.023195	64.107719
41.0232	64.354065
41.023205	64.547897
41.02321	64.53067
41.023215	64.881805
41.02322	64.976631
41.023225	65.091431
41.02323	65.386948
41.023235	65.228287
41.02324	65.728485
41.023245	65.67305
41.02325	65.880898
41.023255	66.114601
41.02326	66.107452
41.023265	66.507164
41.02327	66.461624
41.023275	66.67334
41.02328	66.719948
41.023285	67.061661
41.02329	67.051407
41.023295	67.28035
41.0233	67.388062
41.023305	67.611694
41.02331	67.621765
41.023315	67.883133
41.02332	67.962288
41.023325	68.074226
41.02333	68.454865
41.023335	68.443237
41.02334	68.589149
41.023345	68.852547
41.02335	68.841812
41.023355	69.030342
41.02336	69.145676
41.023365	69.304169
41.02337	69.58139
41.023375	69.603264
41.02338	69.913925
41.023385	69.920059
41.02339	70.085884
41.023395	70.224289
41.0234	70.336166
41.023405	70.488037
41.02341	70.672272
41.023415	70.909264
41.02342	70.882141
41.023425	71.129021
41.02343	71.338829
41.023435	71.129143
41.02344	71.827293
41.023445	71.308968
41.02345	72.112564
41.023455	71.747658
41.02346	72.284698
41.023465	72.098557
41.02347	72.419167
41.023475	72.484673
41.02348	72.624741
41.023485	72.805939
41.02349	72.864471
41.023495	73.208389
41.0235	73.156891
41.023505	73.38649
41.02351	73.421837
41.023515	73.621094
41.02352	73.738457
41.023525	73.993385
41.02353	73.881271
41.023535	74.380455
41.02354	74.110748
41.023545	74.562546
41.02355	74.537102
41.023555	74.816765
41.02356	74.775932
41.023565	75.078964
41.02357	75.026749
41.023575	75.263199
41.02358	75.4869
41.023585	75.377167
41.02359	75.758812
41.023595	75.611115
41.0236	76.049744
41.023605	76.055702
41.02361	76.134857
41.023615	76.457977
41.02362	76.295914
41.023625	76.668381
41.02363	76.593994
41.023635	76.962471
41.02364	76.946136
41.023645	77.184616
41.02365	77.210724
41.023655	77.211441
41.02366	77.593384
41.023665	77.505531
41.02367	77.8116
41.023675	77.776787
41.02368	78.078804
41.023685	78.048943
41.02369	78.222099
41.023695	78.355553
41.0237	78.507187
41.023705	78.620674
41.02371	78.768433
41.023715	78.95166
41.02372	79.027893
41.023725	79.160629
41.02373	79.363167
41.023735	79.149544
41.02374	79.743263
41.023745	79.456802
41.02375	79.986214
41.023755	79.799591
41.02376	80.007912
41.023765	80.174568
41.02377	80.178856
41.023775	80.407974
41.02378	80.398438
41.023785	80.641388
41.02379	80.787239
41.023795	80.845596
41.0238	81.04348
41.023805	81.005928
41.02381	81.276718
41.023815	81.294479
41.02382	81.416428
41.023825	81.58535
41.02383	81.803558
41.023835	81.836281
41.02384	81.870972
41.023845	82.180443
41.02385	82.022247
41.023855	82.389114
41.02386	82.295776
41.023865	82.628967
41.02387	82.584084
41.023875	82.947136
41.02388	82.697571
41.023885	83.227814
41.02389	82.88282
41.023895	83.484886
41.0239	83.178696
41.023905	83.511711
41.02391	83.501099
41.023915	83.795784
41.02392	83.765564
41.023925	83.965721
41.02393	83.965179
41.023935	84.306595
41.02394	84.193466
41.023945	84.390518
41.02395	84.579887
41.023955	84.542213
41.02396	84.85186
41.023965	84.719421
41.02397	84.988472
41.023975	85.065781
41.02398	85.195122
41.023985	85.252937
41.02399	85.492966
41.023995	85.359215
41.024	85.716011
41.024005	85.679115
41.02401	85.842255
41.024015	85.887787
41.02402	86.16555
41.024025	85.99836
41.02403	86.456955
41.024035	86.286484
41.02404	86.595474
41.024045	86.512207
41.02405	86.788956
41.024055	86.80481
41.02406	86.93737
41.024065	87.179306
41.02407	86.989403
41.024075	87.219063
41.02408	87.49884
41.024085	87.338509
41.02409	87.628845
41.024095	87.828812
41.0241	87.605476
41.024105	88.082489
41.02411	87.76516
41.024115	88.054359
41.02412	88.313881
41.024125	88.190498
41.02413	88.502228
41.024135	88.47374
41.02414	88.632706
41.024145	88.822304
41.02415	88.662567
41.024155	89.072884
41.02416	88.86647
41.024165	89.280724
41.02417	89.195724
41.024175	89.234116
41.02418	89.637634
41.024185	89.357796
41.02419	89.626015
41.024195	89.742538
41.0242	89.803993
41.024205	90.049324
41.02421	90.045212
41.024215	90.125381
41.02422	90.199471
41.024225	90.359329
41.02423	90.376854
41.024235	90.471741
41.02424	90.679527
41.024245	90.710579
41.02425	90.869781
41.024255	90.868233
41.02426	90.925217
41.024265	91.239456
41.02427	90.985596
41.024275	91.41761
41.02428	91.241714
41.024285	91.750626
41.02429	91.429352
41.024295	91.803673
41.0243	91.643509
41.024305	91.962875
41.02431	91.88253
41.024315	92.055023
41.02432	92.162491
41.024325	92.395004
41.02433	92.239082
41.024335	92.461586
41.02434	92.566315
41.024345	92.565117
41.02435	92.737793
41.024355	92.768845
41.02436	92.896637
41.024365	92.978836
41.02437	93.237816
41.024375	92.974899
41.02438	93.426529
41.024385	93.158485
41.02439	93.572914
41.024395	93.351303
41.0244	93.782425
41.024405	93.661789
41.02441	93.811928
41.024415	93.96154
41.02442	93.800011
41.024425	94.144646
41.02443	94.155548
41.024435	94.186783
41.02444	94.466034
41.024445	94.38604
41.02445	94.538208
41.024455	94.520508
41.02446	94.681862
41.024465	94.816505
41.02447	94.672684
41.024475	95.166084
41.02448	94.753204
41.024485	95.270332
41.02449	95.211983
41.024495	95.258179
41.0245	95.457794
41.024505	95.430496
41.02451	95.564125
41.024515	95.478477
41.02452	95.982613
41.024525	95.441284
41.02453	96.202553
41.024535	95.698059
41.02454	96.138176
41.024545	96.104622
41.02455	96.166191
41.024555	96.335411
41.02456	96.410812
41.024565	96.297203
41.02457	96.562027
41.024575	96.633972
41.02458	96.775772
41.024585	96.636353
41.02459	97.064796
41.024595	96.822319
41.0246	97.128448
41.024605	96.932411
41.02461	97.373428
41.024615	97.122314
41.02462	97.426476
41.024625	97.424744
41.02463	97.462654
41.024635	97.656967
41.02464	97.572205
41.024645	97.775398
41.02465	97.729149
41.024655	97.957436
41.02466	97.820938
41.024665	98.282936
41.02467	97.8629
41.024675	98.343491
41.02468	98.14048
41.024685	98.333595
41.02469	98.445534
41.024695	98.427475
41.0247	98.794281
41.024705	98.55574
41.02471	98.771576
41.024715	98.91832
41.02472	98.667145
41.024725	99.138199
41.02473	98.758759
41.024735	99.272491
41.02474	99.097786
41.024745	99.356949
41.02475	99.195358
41.024755	99.400101
41.02476	99.531113
41.024765	99.269394
41.02477	99.821983
41.024775	99.518478
41.02478	99.977074
41.024785	99.766907
41.02479	99.884811
41.024795	99.967003
41.0248	100.04449
41.024805	100.01838
41.02481	100.22736
41.024815	100.15947
41.02482	100.36951
41.024825	100.33113
41.02483	100.38263
41.024835	100.6133
41.02484	100.47597
41.024845	100.79229
41.02485	100.53617
41.024855	100.95197
41.02486	100.77232
41.024865	101.03762
41.02487	100.80129
41.024875	101.18568
41.02488	100.91287
41.024885	101.30221
41.02489	101.13573
41.024895	101.41122
41.0249	101.40389
41.024905	101.3087
41.02491	101.70216
41.024915	101.42422
41.02492	101.82977
41.024925	101.59838
41.02493	101.87257
41.024935	101.84598
41.02494	101.8514
41.024945	101.95923
41.02495	102.04965
41.024955	102.13483
41.02496	102.12761
41.024965	102.20254
41.02497	102.15884
41.024975	102.53114
41.02498	102.25374
41.024985	102.46902
41.02499	102.50062
41.024995	102.68533
41.025	102.62972
41.025005	102.85515
41.02501	102.69898
41.025015	102.9225
41.02502	102.79679
41.025025	102.96416
41.02503	102.90837
41.025035	103.26814
41.02504	103.1552
41.025045	103.23215
